study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,5,5,0,,,p_st_y,pastry,old,pastery,[np.float64(-0.035555555555555556)],[np.float64(-0.31666666666666665)],[1],[0],[0],[3.44647099962458],['text_3'],,,,,0,5,5,4,135.4995832,,,,,,,,,135.488567,135.4995832,135.4995832,135.4995832,0.0033602,138.9353481,pastery,[np.float64(-0.035555555555555556)],[np.float64(-0.31666666666666665)],[1],[0],[0],[3.44647099962458],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,6,6,0,,,p_li_e,police,old,police,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.211604400072247],['text_3'],,,,,0,6,6,7,138.965305,,,,,,,,,138.9385572,138.965305,138.965305,138.965305,0.0031007,143.1504565,police,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.211604400072247],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,7,7,0,,,_ou_e,mouse,old,mouse,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.6356162996962667],['text_3'],,,,,0,7,7,3,143.1658374,,,,,,,,,143.1530998,143.1658374,143.1658374,143.1658374,0.0025349,146.7890492,mouse,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.6356162996962667],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,8,8,0,,,c_s_,case,old,case,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.029703899752349],['text_3'],,,,,0,8,8,5,146.8155897,,,,,,,,,146.7923538,146.8155897,146.8155897,146.8155897,0.003181,150.8223888,case,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.029703899752349],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,9,9,0,,,c_m_ra,camera,new,camera,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.791911699809134],['text_3'],,,,,0,9,9,19,150.8489637,,,,,,,,,150.8253185,150.8489637,150.8489637,150.8489637,0.0027615,156.6177079,camera,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.791911699809134],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,10,10,0,,,p_nc_l,pencil,new,pencil,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[7.330260700080544],['text_3'],,,,,0,10,10,16,156.6327489,,,,,,,,,156.6208695,156.6327489,156.6327489,156.6327489,0.003017,163.95146,pencil,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[7.330260700080544],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,11,11,0,,,_ho_e,phone,old,,[],[],[],[],[],[],[],,,,,0,11,11,12,163.9819265,,,,,,,,,163.9550185,163.9819265,163.9819265,163.9819265,0.0034457,173.9664767,,[],[],[],[],[],[],[],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,12,12,0,,,_a_bl_,marble,old,marble,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.880499699618667],['text_3'],,,,,0,12,12,11,173.9823051,,,,,,,,,173.9701533,173.9823051,173.9823051,173.9823051,0.0185717,178.8510293,marble,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.880499699618667],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,13,13,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.744573500007391],['text_3'],,,,,0,13,13,2,178.8661341,,,,,,,,,178.854281,178.8661341,178.8661341,178.8661341,0.003104,182.5991516,tshirt,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.744573500007391],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,14,14,0,,,ta_l_,table,new,table,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[7.099524199962616],['text_3'],,,,,0,14,14,15,182.6155902,,,,,,,,,182.6008753,182.6155902,182.6155902,182.6155902,0.0016593,189.7006645,table,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[7.099524199962616],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,15,15,0,,,_ru_s_,cruise,old,cruise,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.212435699999332],['text_3'],,,,,0,15,15,6,189.7152413,,,,,,,,,189.7038169,189.7152413,189.7152413,189.7152413,0.0030562,193.9167004,cruise,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.212435699999332],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,16,16,0,,,bo_t_e,bottle,new,bootie,[],[],[],[],[],[],[],,,,,0,16,16,18,193.9317252,,,,,,,,,193.919313,193.9317252,193.9317252,193.9317252,0.0024821,203.9165374,bootie,[],[],[],[],[],[],[],203.9478109,203.9478109,203.9478109,9.9990798,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,17,17,0,,,l_pt_p,laptop,old,laptop,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.628203500062227],['text_3'],,,,,0,17,17,0,203.9478109,,,,,,,,,203.9210387,203.9478109,203.9478109,203.9478109,0.0042156,209.5495686,laptop,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.628203500062227],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,18,18,0,,,c_s_io_,cushion,old,cushion,[],[],[],[],[],[],[],,,,,0,18,18,14,209.5645136,,,,,,,,,209.5514541,209.5645136,209.5645136,209.5645136,0.0017978,219.5493728,cus,[],[],[],[],[],[],[],219.564544,219.564544,219.564544,9.9992419,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,19,19,0,,,_o_rd,board,old,board,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[8.645863200072199],['text_3'],,,,,0,19,19,10,219.564544,,,,,,,,,219.5524519,219.564544,219.564544,219.564544,0.0028101,228.1986275,board,[np.float64(-0.01)],[np.float64(-0.29333333333333333)],[1],[0],[0],[8.645863200072199],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
