study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,3,3,0,,,c_s_io_,cushion,old,"cushion
",[],[],[],[],[],[],[],,,,,0,3,3,14,50.2275183,,,,,,,,50.2127086,50.2275183,50.2275183,50.2275183,-0.0007425,60.2117875,"cussion
",[],[],[],[],[],[],[],60.2298847,60.2298847,60.2298847,9.9978331,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,4,4,0,,,_ou_e,mouse,old,mouse,"[np.float64(-0.022222222222222223), np.float64(-0.022222222222222223), np.float64(-0.022222222222222223), np.float64(-0.07222222222222222)]","[np.float64(-0.3566666666666667), np.float64(-0.3566666666666667), np.float64(-0.3566666666666667), np.float64(-0.35)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[6.811997700016946, 7.780395100126043, 8.546500200172886, 9.746912800008431]","[None, None, None, None]",,,,,0,4,4,3,60.2298847,,,,,,,,60.2160758,60.2298847,60.2298847,60.2298847,0.0026417,70.2283655,mouse,"[np.float64(-0.022222222222222223), np.float64(-0.022222222222222223), np.float64(-0.022222222222222223), np.float64(-0.07222222222222222)]","[np.float64(-0.3566666666666667), np.float64(-0.3566666666666667), np.float64(-0.3566666666666667), np.float64(-0.35)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[6.811997700016946, 7.780395100126043, 8.546500200172886, 9.746912800008431]","[None, None, None, None]",,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,5,5,0,,,k_y_,keys,old,keys,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[2.698926500044763],['text_3'],,,,,0,5,5,8,70.259736,,,,,,,,70.2317073,70.259736,70.259736,70.259736,0.018276,72.930968,keys,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[2.698926500044763],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,6,6,0,,,c_s_,case,old,case,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[5.361944700125605],['text_3'],,,,,0,6,6,5,72.9597602,,,,,,,,72.9340926,72.9597602,72.9597602,72.9597602,0.0029941,78.2964369,ase,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[5.361944700125605],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,7,7,0,,,_oo_,book,old,poo,[],[],[],[],[],[],[],,,,,0,7,7,13,78.3270256,,,,,,,,78.300075,78.3270256,78.3270256,78.3270256,0.0034812,88.3104788,poo,[],[],[],[],[],[],[],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,8,8,0,,,_o_rd,board,old,board,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[8.146345500135794],['text_3'],,,,,0,8,8,10,88.3275743,,,,,,,,88.3140714,88.3275743,88.3275743,88.3275743,0.0174763,96.4607104,board,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[8.146345500135794],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,9,9,0,,,v_s_,vase,new,vase,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[3.530785500071943],['text_3'],,,,,0,9,9,17,96.4761577,,,,,,,,96.4644876,96.4761577,96.4761577,96.4761577,0.0036735,99.995614,vase,[np.float64(-0.07666666666666666)],[np.float64(-0.28)],[1],[0],[0],[3.530785500071943],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,10,10,0,,,bo_t_e,bottle,new,bottle,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[5.896670900052413],['text_3'],,,,,0,10,10,18,100.010444,,,,,,,,99.9989698,100.010444,100.010444,100.010444,0.003221,105.8960221,bootle,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[5.896670900052413],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,11,11,0,,,_ho_e,phone,old,,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[8.49349939986132],['text_3'],,,,,0,11,11,12,105.9255634,,,,,,,,105.8993663,105.9255634,105.9255634,105.9255634,0.0032045,114.3931728,,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[8.49349939986132],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,12,12,0,,,p_st_y,pastry,old,pastry,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[3.065774600021541],['text_3'],,,,,0,12,12,4,114.4093958,,,,,,,,114.3955166,114.4093958,114.4093958,114.4093958,0.002116,117.4615929,pastry,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[3.065774600021541],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,13,13,0,,,_ha_t,chart,old,chart,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[7.365283600054681],['text_3'],,,,,0,13,13,1,117.4758939,,,,,,,,117.4651267,117.4758939,117.4758939,117.4758939,0.0033031,124.8307719,chart,[np.float64(-0.03666666666666667)],[np.float64(-0.32)],[1],[0],[0],[7.365283600054681],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,14,14,0,,,p_nc_l,pencil,new,pencil,[],[],[],[],[],[],[],,,,,0,14,14,16,124.8588298,,,,,,,,124.8340922,124.8588298,124.8588298,124.8588298,0.003198,134.8438125,pencil,[],[],[],[],[],[],[],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,15,15,0,,,t_hi_t,tshirt,old,tshirt,"[np.float64(0.015555555555555555), np.float64(-0.0022222222222222222)]","[np.float64(-0.20333333333333334), np.float64(-0.30333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[5.379956799792126, 6.62924229982309]","[None, 'text_3']",,,,,0,15,15,2,134.8757081,,,,,,,,134.8483514,134.8757081,134.8757081,134.8757081,0.0174754,141.4780727,tshirt,"[np.float64(0.015555555555555555), np.float64(-0.0022222222222222222)]","[np.float64(-0.20333333333333334), np.float64(-0.30333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[5.379956799792126, 6.62924229982309]","[None, 'text_3']",,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,16,16,0,,,ta_l_,table,new,table,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[4.095468699932098],['text_3'],,,,,0,16,16,15,141.5090957,,,,,,,,141.4815011,141.5090957,141.5090957,141.5090957,0.0032828,145.5774274,table,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[4.095468699932098],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,17,17,0,,,l_pt_p,laptop,old,laptop,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[3.781206800136715],['text_3'],,,,,0,17,17,0,145.5922249,,,,,,,,145.5807148,145.5922249,145.5922249,145.5922249,0.0031145,149.3623123,laptop,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[3.781206800136715],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,18,18,0,,,p_st_r,poster,old,,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[0.9429478000383824],['text_3'],,,,,0,18,18,9,149.3911707,,,,,,,,149.3664604,149.3911707,149.3911707,149.3911707,0.0039686,150.3098128,,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[0.9429478000383824],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,19,19,0,,,_ru_s_,cruise,old,,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[6.463475199881941],['text_3'],,,,,0,19,19,6,150.3255394,,,,,,,,150.3129668,150.3255394,150.3255394,150.3255394,0.0030534,156.7768518,,[np.float64(-0.0022222222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[6.463475199881941],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
